Gears: SALUT :3  (256442925313949696 / 388.559 | 12/05/2017)
Haku: Coucou !  (205033396303298571 / 460.773 | 12/05/2017)
Gears: f.hug <@!205033396303298571>  (256442925313949696 / 482.02 | 12/05/2017)
FurBot: Gears places Haku le chaton <3 in front of a warm campfire and hugs them :hugging:  (174186616422662144 / 482.039 | 12/05/2017)
Haku: f.boop <@256442925313949696>  (205033396303298571 / 490.842 | 12/05/2017)
FurBot: Haku le chaton <3 sneakily boops Gears 👉 **boop!**  (174186616422662144 / 491.084 | 12/05/2017)
Gears: Salut Plush  (256442925313949696 / 495.555 | 12/05/2017)
Dyno:   (363614428731539458 / 510.767 | 12/05/2017)
Gears: TwT  (256442925313949696 / 518.197 | 12/05/2017)
Gears: 💨  (256442925313949696 / 523.462 | 12/05/2017)
Plush: Bonne après-midi Rhenar !  (387293113472909324 / 524.326 | 12/05/2017)
Kechua Co.: C'est quoi ses commandes?  (304187232175259648 / 536.476 | 12/05/2017)
Gears: bonjour plush  (256442925313949696 / 548.537 | 12/05/2017)
Gears: mais TwT  (256442925313949696 / 555.622 | 12/05/2017)
Kechua Co.: Salut PLush  (304187232175259648 / 569.906 | 12/05/2017)
Dyno:   (363614428731539458 / 574.923 | 12/05/2017)
Kechua Co.: Salut Plush  (304187232175259648 / 581.994 | 12/05/2017)
Dyno:   (363614428731539458 / 589.326 | 12/05/2017)
Plush: Bonne après-midi Kechua Co. !  (387293113472909324 / 595.762 | 12/05/2017)
Plush: Bonne après-midi Gears !  (387293113472909324 / 616.863 | 12/05/2017)
Gears: enfin ! TwT  (256442925313949696 / 626.882 | 12/05/2017)
Dyno:   (363614428731539458 / 725.616 | 12/05/2017)
Dyno:   (363614428731539458 / 736.787 | 12/05/2017)
SnoWDooM: YO BANDE DE PED'  (349657602902458368 / 852.276 | 12/05/2017)
[aty](fr):   (136578121376858132 / 855.226 | 12/05/2017)
Haku: '-'  (205033396303298571 / 870.255 | 12/05/2017)
[aty](fr):   (136578121376858132 / 879.805 | 12/05/2017)
Haku: Owo  (205033396303298571 / 941.511 | 12/05/2017)
Gears: f.hug <@!205033396303298571>  (256442925313949696 / 960.295 | 12/05/2017)
FurBot: Gears jumps on Haku le chaton <3 and hugs them tight! :hugging:  (174186616422662144 / 960.408 | 12/05/2017)
Haku: f.boop <@256442925313949696>  (205033396303298571 / 969.304 | 12/05/2017)
FurBot: Haku le chaton <3 jumps on Gears and boops them! 👉 **boop!**  (174186616422662144 / 969.442 | 12/05/2017)
Gears: f.boop <@!205033396303298571>  (256442925313949696 / 991.238 | 12/05/2017)
FurBot: Gears sneakily boops Haku le chaton <3 👉 **boop!**  (174186616422662144 / 991.473 | 12/05/2017)
Haku: =w=  (205033396303298571 / 996.325 | 12/05/2017)
Gears: f.boop <@!205033396303298571>  (256442925313949696 / 999.402 | 12/05/2017)
Haku: f.boop <@256442925313949696>  (205033396303298571 / 1002.581 | 12/05/2017)
FurBot: Haku le chaton <3 jumps on Gears and boops them! 👉 **boop!**  (174186616422662144 / 1002.701 | 12/05/2017)
Gears: f.boop <@!205033396303298571>  (256442925313949696 / 1022.518 | 12/05/2017)
FurBot: Gears smiles and boops Haku le chaton <3! 👉 **boop!**  (174186616422662144 / 1022.629 | 12/05/2017)
Haku: f.boop <@256442925313949696>  (205033396303298571 / 1024.314 | 12/05/2017)
FurBot: Haku le chaton <3 gives Gears a quick boop~ 👉 **boop!**  (174186616422662144 / 1024.498 | 12/05/2017)
Haku: f.boop <@256442925313949696>  (205033396303298571 / 1030.525 | 12/05/2017)
Haku: >w<  (205033396303298571 / 1032.794 | 12/05/2017)
Gears: f.boop <@!205033396303298571>  (256442925313949696 / 1033.643 | 12/05/2017)
FurBot: Gears jumps on Haku le chaton <3 and boops them! 👉 **boop!**  (174186616422662144 / 1033.759 | 12/05/2017)
Haku: f.hug <@256442925313949696>  (205033396303298571 / 1038.896 | 12/05/2017)
FurBot: Haku le chaton <3 wraps Gears in hundreds of layers of blankets and hugs them :hugging:  (174186616422662144 / 1039.004 | 12/05/2017)
Haku: Owo  (205033396303298571 / 1041.379 | 12/05/2017)
Dyno:   (363614428731539458 / 1043.319 | 12/05/2017)
Gears: f.boop <@!205033396303298571>  (256442925313949696 / 1050.079 | 12/05/2017)
FurBot: Gears runs around Haku le chaton <3 and boops them multiple times! 👉 **boop!**  (174186616422662144 / 1050.201 | 12/05/2017)
